"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 18 17:09:00 MSK 2021","Fri Jun 18 17:09:04 MSK 2021","4602","tests","test_e2e","","","","test_add_new_item",""
"passed","Fri Jun 18 17:37:49 MSK 2021","Fri Jun 18 17:37:51 MSK 2021","1907","tests","test_e2e","TestOpenCart","","","тест создание пользоватиеля","Проверка согдания пользователя"
"passed","Fri Jun 18 17:37:56 MSK 2021","Fri Jun 18 17:37:58 MSK 2021","2140","tests","test_e2e","TestOpenCart","","","тест удаление товара","Проверка удаление товара с первой строчки"
"passed","Fri Jun 18 17:30:38 MSK 2021","Fri Jun 18 17:30:40 MSK 2021","2325","tests","test_e2e","TestContent","","","тест удаление товара","Проверка удаление товара с первой строчки"
"passed","Fri Jun 18 17:30:32 MSK 2021","Fri Jun 18 17:30:34 MSK 2021","1899","tests","test_e2e","TestContent","","","тест создание пользоватиеля","Проверка согдания пользователя"
"passed","Fri Jun 18 17:08:58 MSK 2021","Fri Jun 18 17:09:00 MSK 2021","1719","tests","test_e2e","","","","test_registration",""
"passed","Fri Jun 18 17:30:40 MSK 2021","Fri Jun 18 17:30:40 MSK 2021","597","tests","test_e2e","TestContent","","","тест изменение валюты","Проверка изменение валюты на главной странице"
"passed","Fri Jun 18 17:09:06 MSK 2021","Fri Jun 18 17:09:07 MSK 2021","642","tests","test_e2e","","","","test_switch_currency",""
"passed","Fri Jun 18 17:30:34 MSK 2021","Fri Jun 18 17:30:38 MSK 2021","3986","tests","test_e2e","TestContent","","","тест новго товара","Добавление нового контента в список товаров"
"passed","Fri Jun 18 17:37:58 MSK 2021","Fri Jun 18 17:37:59 MSK 2021","623","tests","test_e2e","TestOpenCart","","","тест изменение валюты","Проверка изменение валюты на главной странице"
"passed","Fri Jun 18 17:37:51 MSK 2021","Fri Jun 18 17:37:56 MSK 2021","4324","tests","test_e2e","TestOpenCart","","","тест новго товара","Добавление нового контента в список товаров"
"passed","Fri Jun 18 17:09:04 MSK 2021","Fri Jun 18 17:09:06 MSK 2021","2357","tests","test_e2e","","","","test_delete_item",""
